name,jcs,party
"Alito, Samuel",0.520,Republican
"Barrett, Amy",0.486,Republican
"Breyer, Stephen",-0.364,Democrat
"Garland, Merrick",-0.438,Democrat
"Ginsburg, Ruth Bader",-0.614,Democrat
"Gorsuch, Neil",0.525,Republican
"Hardiman, Thomas",0.068,Republican
"Kagan, Elena",-0.421,Democrat
"Kavanaugh, Brett",0.693,Republican
"Kennedy, Anthony",-0.039,Republican
"Kethledge, Raymond",0.693,Republican
"Roberts, John",0.196,Republican
"Scalia, Antonin",0.534,Republican
"Sotomayor, Sonia",-0.618,Democrat
"Souter, David",-0.429,Republican
"Stevens, John Paul",-0.640,Republican
"Thomas, Clarence",0.738,Republican
